agencyID,staffID,StaffAgencyID,Status,Status2,SOE,EOE,RehireDate,Position,OfficeStaff,FieldStaff,Person,Contractor,Title,FirstName,MiddleInitial,LastName,Suffix,Ethnicity,Income,Language,Marital,Sex,SSN,DOB,DOD,Address,Address2,AptNo,County,City,State,Zip,HomePhone,WorkPhone,MobilePhone,Fax,Email,API,NPI,OtherID1,OtherID2,Class,MilitaryStatus,Transportation,Compliant,CompliantThru,HomeLocation,IsManager,IsCoordinator,Coordinator,Manager
"4227","370","","05","NAE","01/01/1900 00:00:00","01/01/1900 00:00:00","","HHA","0","1","0","0","","","","Santrax Interface","","","","","","0","","01/01/1900 00:00:00","01/01/1900 00:00:00","","","","","","","","","","","","","","","","","","","","0","","","0","0","0","0"
"4227","371","9999","01","","","","","OFC","1","0","1","0","","Guest","","Guest","","","","","","0","000000000","","","","","","","","","","","","","","evvemail","","","","9998","","","","0","","","0","0","0","0"
"4227","372","101119","02","","01/25/2011 00:00:00","","","RN","0","1","1","0","","Jennifer","","Sanders","","","","","","2","565478777","","","","","","","","","","","","","","a@gmail.com","","","","000101119","","","","1","11/01/2012 00:00:00","","0","1","0","0"
"4227","373","101107","02","","05/01/2009 00:00:00","","","HHA","0","1","1","0","","Sarah","","Jackson","","","","","","2","123456879","","","","","","","","","","","","","","","","","","000101107","","","","1","05/09/2013 00:00:00","","0","0","0","0"
"4227","374","101103","03","ML","","","","MSW","0","1","1","0","Mr.","Jen","","De","","","","","","0","123589634","","","","","","","","","","","","","","","","","","000101103","","","","0","","","0","0","0","0"
"4227","375","000028","02","","07/15/2010 00:00:00","","","HHA","0","1","1","0","","Harriet","","Williams","","","","","","2","545188788","08/19/1976 00:00:00","","2325 Old Buckroe Rd.","","#25","Hampton City","Hampton","VA","23668    ","7578512145","","","","","","","","000028","","","","1","07/12/2012 00:00:00","","0","0","0","0"
"4227","376","101102","02","","04/15/2004 00:00:00","","","PT","0","1","1","0","","James","","Darringer","","","","","Married","1","564878870","08/04/1964 00:00:00","","258 Little Back Rd.","","","Hampton City","Hampton","VA","23666    ","7572564874","","7576548521","","","","","","000101102","","","","1","05/18/2013 00:00:00","","0","0","0","0"
"4227","377","101120","02","","04/19/2009 00:00:00","","","CNA","0","1","1","0","","Henry","","Smith","","","","","Married","1","588445487","08/29/1972 00:00:00","","3258 King St.","","","Hampton City","Hampton","VA","23669    ","7578512035","","7572625965","","","","","","101120","","","","1","04/25/2012 00:00:00","","0","0","0","0"
"4227","378","101100","03","FMLA","08/24/2010 00:00:00","","","RN","0","1","1","0","","Mary","","Adams","","","","","Single","2","000280132","11/25/1973 00:00:00","","110 Seward Dr.","","","Hampton City","Hampton","VA","23669    ","7571489444","","7576321545","","","","","","000101100","Full Time","","","0","","","1","0","380","0"
"4227","379","101122","02","","07/06/2010 00:00:00","","","HHA","0","1","1","0","","Heather","","Watson","","","","","Married","2","545677454","08/19/1974 00:00:00","","3625 Bennetts Creek Rd.","","","Suffolk City","Suffolk","VA","23434    ","7574845621","","7572621547","","","","","","101122","","","","1","04/10/2012 00:00:00","","0","0","0","0"
"4227","380","101101","02","","04/23/1995 00:00:00","","","RN","0","1","1","0","","Debra","","Askew","","","","","","2","646031444","","","","","","","","","","7572369947","","","","askew@sandata.com","","","","000101101","","","","0","","","1","1","0","0"
"4227","381","101110","04","IE","07/22/2009 00:00:00","03/06/2017 00:00:00","02/01/2017 00:00:00","PT","0","1","1","0","","Sarah","","Lassinger","","","","","Married","2","359148794","05/19/1968 00:00:00","","321 Smith Lane","","","Suffolk City","Suffolk","VA","23434    ","7578963214","","7572623654","","","","","","000101110","","","","1","08/01/2012 00:00:00","","0","0","0","0"
"4227","382","101106","02","","01/06/2010 00:00:00","","","HHA","0","1","1","0","","Heather","","Jackson","","","","","","2","236985475","","","","","","","","","","7574846215","","","","","","","","101106","","","","0","","","0","0","0","0"
"4227","383","","02","","02/01/2010 00:00:00","","","OFC","1","0","1","0","","Sarah","","Black","","","","","","2","898548745","","","","","","","","","","7576471154","","","","","","","","","","","","1","12/31/2055 00:00:00","","0","0","0","0"
"4227","384","101109","02","","08/06/2010 00:00:00","","","HHA","0","1","1","0","","Juanita","","Keller","","","","English","Married","2","978458157","05/18/1968 00:00:00","","69547 Warwick Ave.","","","Newport News City","Newport News","VA","23601    ","7578548877","","7572625897","","","","","","101109","","","","1","05/18/2012 00:00:00","","0","0","0","0"
"4227","385","101108","02","","10/08/2008 00:00:00","","","RN","0","1","1","0","-1","Annabelle","","Johnson","","","","","","0","836479847","","","","","","","","","","7572587894","","","","","","","","101108","","","","1","10/08/2011 00:00:00","","0","0","0","0"
"4227","386","101105","04","E","02/19/2010 00:00:00","03/20/2017 00:00:00","","PT","0","1","1","0","","Barry","","Henderson","","","","","","1","325487654","","","","","","Hampton City","Hampton","VA","23666    ","7572295648","","","","","","","","000101105","","","","1","04/20/2012 00:00:00","","0","0","0","0"
"4227","387","101112","02","","08/15/2010 00:00:00","","","CNA","0","1","1","0","","Lily","","Miller","","","","","","2","654231478","","","","","","","","","","7572281647","","","","","","","","101112","","","","1","08/15/2012 00:00:00","","0","0","0","0"
"4227","388","101111","02","","05/28/2010 00:00:00","","","HHA","0","1","1","0","","Sally","","Long","","","","","","2","130505891","","","","","","","","","","7575962214","","","","","","","","000101111","","","","1","10/01/2012 00:00:00","","0","0","0","0"
"4227","389","110117","02","","01/01/2001 00:00:00","","","RN","0","1","1","0","","Toni","","Sanchez","","","","","","2","","","","1007 Robin Road","","","Nassau","Franklin Square","NY","11010    ","5164878979","","","","","","","","000110117","","","","0","","","0","0","0","0"
"4227","391","343434","04","E","01/01/2011 00:00:00","09/28/2011 00:00:00","","RN","0","1","1","0","-1","Toni","","Sanchez","","","","","","0","","","","","","","","","","","5167897894","","","","","","","","000000000","","","","0","","","0","0","0","0"
"4227","392","101114","02","","01/01/2011 00:00:00","","","OFC","1","0","1","0","","Alec","","Miniero","","","","","","1","777888999","02/15/1984 00:00:00","","89 Main Street","","","Nassau","Franklin Square","NY","11010","","","","","","","","","000101114","","","","1","12/31/2055 00:00:00","","0","0","0","0"
"4227","393","101115","02","","05/29/2017 00:00:00","","","HHA","0","1","1","0","","John","","Moore","","","","","","1","123565656","","","","","","","","","","5169997777","","","","","","","","000101115","","","","0","","","1","0","380","419"
